miu	rrflux_weight	rrfulx_flux
0.1	25.0775879736	25.0775879134
0.2	25.2313997357	25.2313998102
0.3	17.3287324522	17.3287324465
0.4	16.5909456752	16.5909456609
0.5	15.9611591501	15.9611591551
0.6	16.2713273238	16.2713273167
0.7	13.3154630629	13.3154630634
0.8	13.8427524288	13.842752425
0.9	15.2116794104	15.2116794134
1.0	15.1586620009	15.1586620023
2.0	11.0687440307	11.0687440306
3.0	7.80591774028	7.80591774019
4.0	7.39131196709	7.39131196705
5.0	7.31781978965	7.31781978964
6.0	7.42049409855	7.42049409851
7.0	7.76763677535	7.76763677535
8.0	7.50025354311	7.50025354311
9.0	7.797509996	7.79750999596
